べきとうせい	冪等性	名詞
かようせい	可用性	名詞
せいごうせい	整合性	名詞
はいじょせいぎょ	排他制御	名詞
らっかんろっく	楽観ロック	名詞
ひかんろっく	悲観ロック	名詞
さんしょうとうかせい	参照透過性	名詞
ふくさよう	副作用	名詞
かたすいろん	型推論	名詞
じどうてすと	自動テスト	名詞
かいきてすと	回帰テスト	名詞
たんいたいすと	単体テスト	名詞
けつごうど	結合度	名詞
ぎょうしゅうど	凝集度	名詞
ふへんせい	不変性	名詞
さいげんてじゅん	再現手順	名詞
しょうがいちょうさ	障害調査	名詞
しょうがいたいおう	障害対応	名詞
かんそくせい	観測性	名詞
かかんそくせい	可観測性	名詞
りふぁくたりんぐ	リファクタリング	名詞サ変
でぷろい	デプロイ	名詞サ変
ろーるばっく	ロールバック	名詞サ変
すけーりんぐ	スケーリング	名詞サ変
こんてな	コンテナ	名詞
くーばねてぃす	Kubernetes	固有名詞
どっかー	Docker	固有名詞
てらふぉーむ	Terraform	固有名詞
ぽすとぐれすきゅーえる	PostgreSQL	固有名詞
たいぷすくりぷと	TypeScript	固有名詞
りあくと	React	固有名詞
